platform,mappingFunction,dbName,interName,geneColname,splitColumn,organism
GPL81,Direct,,,ENTREZ_GENE_ID,,Mm
GPL180,Anno,org.Hs.egSYMBOL2EG,GENE_SYM,,,Hs
GPL341,Direct,,,ENTREZ_GENE_ID,,Rn
GPL571,Direct,,,ENTREZ_GENE_ID,,Hs
GPL885,Direct,,,GENE,,Hs
GPL887,Direct,,,GENE,,Hs
GPL890,Direct,,,GENE,,Rn
GPL962,Anno,org.Hs.egUNIGENE2EG,UNIGENE,,,Hs
GPL1053,Anno,org.Hs.egSYMBOL2EG,GENE,,,Hs
GPL1073,Anno,org.Mm.egACCNUM2EG,GenBank,,GB_ACC,Mm
GPL1261,Direct,,,ENTREZ_GENE_ID,,Mm
GPL1291,Direct,,,Entrez Gene ID,,Hs
GPL1293,Direct,,,Entrez Gene ID,,Hs
GPL1390,Anno,org.Hs.egREFSEQ2EG,GB_ACC,,,Hs
GPL1708,Direct,,,GENE,,Hs
GPL3921,Direct,,,ENTREZ_GENE_ID,,Hs
GPL4133,Direct,,,GENE,,Hs
GPL4372,Direct,,,EntrezGeneID,,Hs
GPL5645,Anno,org.Hs.egSYMBOL2EG,Gene Name,,,Hs
GPL6104,Direct,,,Entrez_Gene_ID,,Hs
GPL6254,Anno,org.Hs.egENSEMBL2EG,ENSEMBL_GENE_ID,,,Hs
GPL6333,Anno,org.Mm.egREFSEQ2EG,RefSeq,,GB_ACC,Mm
GPL6480,Direct,,,GENE,,Hs
GPL6865,Anno,org.Hs.egREFSEQ2EG,rep_name,,,Hs
GPL6880,Anno,org.Mm.egREFSEQ2EG,RefSeq,,GB_ACC,Mm
GPL6884,Direct,,,Entrez_Gene_ID,,Hs
GPL6885,Anno,org.Mm.egREFSEQ2EG,RefSeq,,GB_ACC,Mm
GPL6887,Anno,org.Mm.egREFSEQ2EG,RefSeq,,GB_ACC,Mm
GPL6947,Anno,org.Hs.egREFSEQ2EG,RefSeq,,GB_ACC,Hs
GPL7015,Anno,org.Hs.egREFSEQ2EG,GB_LIST,,,Hs
GPL7202,Direct,,,GENE,,Mm
GPL8177,Anno,org.Hs.egREFSEQ2EG,GB_ACC,,,Hs
GPL10332,Anno,org.Hs.egREFSEQ2EG,GB_ACC,,,Hs
GPL10379,Direct,,,EntrezGeneID,,Hs
GPL10558,Direct,,,Entrez_Gene_ID,,Hs
GPL10687,Direct,,,EntrezGeneID,,Hs
GPL11202,Direct,,,GENE,,Mm
GPL13607,Anno,org.Hs.egREFSEQ2EG,GB_ACC,,,Hs
GPL13730,Direct,,,ENTREZ_GENE_ID,,Mm
GPL15331,Anno,org.Hs.egREFSEQ2EG,GB_ACC,,,Hs
GPL15450,Anno,org.Dr.egREFSEQ2EG,GB_ACC,,,Dr
GPL18721,Anno,org.Hs.egREFSEQ2EG,RefSeq,,GB_ACC,Hs
GPL20769,Anno,org.Hs.egSYMBOL2EG,ORF,,,Hs
