SPCODE   FILE: SPEC_CODE.DAT, for program AIRCHECK; 1st 3 lines are header and
skipped. Then list one species code per line; only 1st 6 columns are read. 
-------------------------------------------------------------------------------
pp       Harbor porpoise                  Phocoena phocoena
pd       Dall's porpoise                  Phocoenoides dalli
up       Unid. porpoise                   Unid. phocoenid
gm       Short-finned pilot whale         Globicephala macrorhynchus
gg       Risso's dolphin                  Grampus griseus
lo       Pacific white-sided dolphin      Lagenorhynchus obliquidens
lb       Northern right whale dolphin     Lissodelphis borealis
tt       Bottlenose dolphin               Tursiops truncatus
dd       Common dolphin                   Delphinus sp.
dl       Long-beaked common dolphin       Delphinus capensis
ds       Short-beaked common dolphin      Delphinus delphis
oo       Killer whale                     Orcinus orca
el       Sea otter                        Enhydra lutris
pv       Harbor seal                      Phoca vitulina
ma       Elephant seal                    Mirounga angustirostris
us       Unid. seal                       Unid phocid
pu       Unid. pinniped                   Unid. pinniped
cu       Northern fur seal                Callorhinus ursinus
ej       Steller sea lion                 Eumetopias jubatus
zc       California sea lion              Zalophus californianus
mn       Humpback whale                   Megaptera novaeangliae
bm       Blue whale                       Balaenoptera musculus
lw       Unid. large whale                Unid. large cetacean
ba       Minke whale                      Balaenoptera acutorostrata
pm       Sperm whale                      Physter macrocephalus
bp       Fin whale                        Balaenoptera physalus
er       Gray whale                       Eschrichtius robustus
eg       North Pacific right whale        Eubalena japonica (formerly E. glacialis)
bb       Sei whale                        Balaenoptera borealis
be       Bryde's whale                    Balaenoptera brydei/Balaenoptera brydei
zi       Cuvier's beaked whale            Ziphius cavirostris
zu       Unid. beaked whale               Unid. zipphiid
um       Unid. Meoplodon                  Unid. Mesoplodon
bd       Baird's beaked whale             Berardius bairdii
mc       Hubb's beaked whale              Mesoplodon carlhubbsi
uk       Unid. Kogia                      Unid. Kogia
ub       Unid. baleen whale               Unid. Balaenopterid
ud       Unid. dolphin/porpoise           Unid. delphinoid
sw       Unid. small whale                Unid. small whale
uc       Unid. cetacean                   Unid. cetacean
uw       Unid. whale                      Unid. whale
m1       Small Mola <2 ft                 Mola mola
m2       Medium Mola 2-4 ft               Mola mola
m3       Large Mola  >4 ft                Mola mola
dc       Leatherback turtle               Dermochelys coriacea
cc       Loggerhead turtle                Caretta caretta
cm       Green turtle                     Chelonia mydas
lv       Olive ridley turtle              Lepidochelys olivacea
uh       Unid. hardshell turtle           Unid. hardshell turtle
ut       Unid. turtle                     Unid. turtle
