startX	startY	startZ	endX	endY	endZ	cyl_ID	parent_ID	extension_ID	radius_cyl	length	volume	branching_order
0.0398	0.0128	0.0034	-0.01556804	0.01918862	1.52343523	1	-1	1	0.07	1.5211	0.0234155152683396	0
-0.0169	0.0213	1.5233	-0.02142234	0.02484756	1.68300412	2	0	2	0.0643	0.1598	0.00207562356897241	0
-0.0236	0.0269	1.683	-0.02396114	0.03415058	1.96071666	3	1	3	0.0639	0.2778	0.00356355798935208	0
-0.0261	0.0329	1.9608	-0.0201878	0.0379799	2.2476852	4	2	4	0.0631	0.287	0.00358996726020692	0
-0.0197	0.0398	2.2476	-0.01679944	0.04590791	2.52641633	5	3	5	0.0619	0.2789	0.00335721909806777	0
-0.0156	0.0477	2.5265	-0.01953519	0.04935974	2.79417323	6	4	6	0.0606	0.2677	0.00308847074712712	0
-0.0179	0.0489	2.7942	-0.02941696	0.0481356	3.0487452	7	5	7	0.0604	0.2548	0.00292027112052461	0
-0.0284	0.0463	3.0488	-0.04422548	0.05056556	3.30066996	8	6	8	0.0599	0.2524	0.0028450694223085	0
-0.0466	0.0507	3.3006	-0.05600608	0.05833968	3.5210688	9	7	9	0.0595	0.2208	0.00245574276492517	0
-0.0568	0.059	3.5211	-0.05803281	0.06797371	3.80765665	10	8	10	0.0575	0.2867	0.00297792156682399	0
-0.057	0.0665	3.8078	-0.06175052	0.07864956	4.01760062	11	9	11	0.0566	0.2102	0.00211551177399243	0
-0.0615	0.0791	4.0176	-0.07069172	0.09523013	4.23991915	12	10	12	0.0555	0.2231	0.00215891433105917	0
-0.0704	0.0961	4.2399	-0.08099864	0.10969488	4.4628292	13	11	13	0.0543	0.2236	0.00207119663138371	0
-0.0814	0.1104	4.4628	-0.093937	0.124323	4.777233	14	12	14	0.0523	0.315	0.00270684759537285	0
-0.0948	0.1219	4.7774	-0.1034268	0.1383794	4.9978258	15	13	15	0.0512	0.2212	0.00182169185805681	0
-0.1027	0.1405	4.9976	-0.11052649	0.15199582	5.20925459	16	14	16	0.0499	0.2121	0.00165917284986574	0
-0.1104	0.1543	5.2093	-0.1197835	0.1556405	5.4005702	17	15	17	0.0505	0.1915	0.00153426863631253	0
-0.1199	0.1554	5.4006	-0.13063511	0.15882021	5.59798368	18	16	18	0.0483	0.1977	0.00144894133992966	0
-0.1315	0.1582	5.5979	-0.14053388	0.16788044	5.77701508	19	17	19	0.0484	0.1796	0.00132174272387216	0
-0.1399	0.1668	5.7772	-0.1484951	0.1781183	5.9468043	20	18	20	0.0489	0.1702	0.00127857776231621	0
-0.1489	0.1795	5.9467	-0.1567002	0.18896908	6.12768278	21	19	21	0.047	0.1814	0.00125887576036087	0
-0.1563	0.1881	6.1278	-0.16350038	0.20898964	6.4115462	22	20	22	0.046	0.2846	0.00189190982165186	0
-0.1623	0.2089	6.4116	-0.16975749	0.22111759	6.58731821	23	21	23	0.0445	0.1763	0.00109678677965541	0
-0.17	0.2227	6.5872	-0.1753956	0.2333267	6.7512723	24	22	24	0.0432	0.1645	0.000964457886245926	0
-0.1776	0.2362	6.7512	-0.17898753	0.23943757	6.92246574	25	23	25	0.0444	0.1713	0.00106089688903039	0
-0.1777	0.2369	6.9225	-0.17811976	0.24126084	7.15565336	26	24	26	0.0437	0.2332	0.00139907595500462	0
-0.1791	0.2405	7.1557	-0.1866183	0.24646188	7.28725706	27	25	27	0.0412	0.1319	0.000703378517972658	0
-0.1841	0.2464	7.2874	-0.1908512	0.25420912	7.42621024	28	26	28	0.0436	0.1392	0.000831308242330913	0
-0.1865	0.2498	7.4269	-0.19832711	0.26504483	7.57555583	29	27	29	0.0465	0.1499	0.00101825701641216	0
-0.2002	0.2243	7.608	-0.2105638	0.31781452	7.7250809	30	28	30	0.0648	0.1502	0.00198138931706268	0
-0.2541	0.3493	7.7338	-0.14546677	0.33891725	8.31695457	31	29	31	0.0678	0.5933	0.00856808189245265	0
-0.1947	0.3422	8.3075	-0.31065144	0.16474338	8.8458873	32	30	32	0.0693	0.5786	0.00872960858148018	0
-0.2967	0.1863	8.8697	-0.4448556	0.04333656	9.08571176	33	31	33	0.0678	0.2984	0.00430931339408035	0
-0.4365	-0.0544	9.0815	-0.45148739	-0.06374553	9.27259402	34	32	34	0.0629	0.1919	0.00238520734653407	0
-0.5556	-0.0078	9.2809	-0.48284155	0.06018587	9.73808509	35	33	35	0.0633	0.4679	0.00588993277424467	0
-0.5158	0.0602	9.7508	-0.47205524	0.09133759	9.86335422	36	34	36	0.0617	0.1247	0.00149137429783095	0
-0.4203	0.1035	9.8841	-0.43449385	0.30362245	9.80220907	37	35	0	0.055	0.2167	0.00205936896229955	0
-0.2637	0.2578	7.6995	-0.43311392	0.14179008	7.70512796	38	29	38	0.0306	0.2054	0.00060421731258749	1
-0.4331	0.1418	7.7052	-0.54431998	0.06606058	7.70864576	39	37	39	0.0306	0.1346	0.000395947664431725	1
-0.5693	0.0754	7.6999	-0.61805741	-0.0189254	7.73885164	40	38	40	0.0289	0.1131	0.000296761913783155	1
-0.6205	-0.0166	7.7482	-0.6596677	-0.1520782	7.7718808	41	39	41	0.0237	0.143	0.000252337968396064	1
-0.6578	-0.1526	7.7733	-0.70388372	-0.28013086	7.77838875	42	40	42	0.0237	0.1357	0.000239456379799621	1
-0.7157	-0.2774	7.7695	-0.7739582	-0.4717298	7.78775152	43	41	43	0.0249	0.2037	0.000396770702016705	1
-0.7806	-0.4688	7.793	-0.8436829	-0.60081115	7.7854699	44	42	44	0.0241	0.1465	0.000267313924867763	1
-0.8471	-0.6001	7.7832	-0.86774548	-0.72347208	7.7778164	45	43	45	0.0237	0.1252	0.000220928067434875	1
-0.8514	-0.7309	7.7636	-0.887714	-0.8575568	7.7880282	46	44	46	0.0237	0.134	0.00023645655779771	1
-0.9132	-0.8483	7.8008	-0.94832654	-1.03923107	7.86938529	47	45	47	0.0237	0.2059	0.00036333138246678	1
-0.9465	-1.0472	7.8578	-0.95600991	-1.26629879	8.00638241	48	46	0	0.0238	0.2649	0.000471395839441072	1
-0.3047	0.3297	7.8183	-0.43576044	0.43199625	8.07172191	49	30	0	0.0226	0.3031	0.000486354218701874	1
-0.2534	0.4171	7.7293	0.02801564	0.48518934	7.97634746	50	30	0	0.0325	0.3806	0.00126294773567882	1
-0.5491	0.0821	9.5077	-0.61881687	-0.24096058	10.34682776	51	34	51	0.0601	0.9019	0.0102342778543769	1
-0.6625	-0.172	10.3828	-0.62592733	-0.29960647	10.67210287	52	50	52	0.0601	0.3183	0.00361189781688454	1
-0.6307	-0.3039	10.6716	-0.62431726	-0.32647339	10.78612693	53	51	53	0.0601	0.1169	0.001326518551033	1
-0.6065	-0.312	10.7822	-0.5733256	-0.2937216	11.0029744	54	52	0	0.0601	0.224	0.0025418319540752	1
-0.2609	0.3828	8.0034	-0.46799049	0.53999104	8.17386647	55	30	55	0.0428	0.3109	0.00178919688240899	1
-0.468	0.5399	8.1738	-0.5620896	0.4803768	8.3100944	56	54	0	0.0428	0.176	0.00101286153523314	1
-0.2118	0.3441	8.3294	0.06912229	0.33663687	8.18731712	57	30	57	0.0728	0.3149	0.0052430656050575	1
0.0504	0.3813	8.2129	0.2158772	0.5295705	8.07501105	58	56	58	0.0728	0.2615	0.00435395889400615	1
0.1989	0.4771	8.0957	0.4144993	0.44068215	8.1804483	59	57	59	0.0728	0.2345	0.00390441055695771	1
0.4852	0.4344	8.1518	0.53403112	0.33096381	8.29503062	60	58	60	0.0728	0.1833	0.0030519337104066	1
0.6055	0.3564	8.317	0.57268629	0.33590334	8.44747907	61	59	61	0.0728	0.1361	0.0022660566174923	1
0.5527	0.3229	8.4637	0.665032	0.49102356	8.7375518	62	60	62	0.0728	0.3404	0.00566763903449213	1
0.5943	0.4819	8.7885	0.71998745	0.43725715	8.9552008	63	61	63	0.0728	0.2135	0.00355476185036448	1
0.773	0.5004	8.9735	1.01294042	0.20973849	9.28079297	64	62	64	0.0728	0.4863	0.00809686504839461	1
0.9904	0.2564	9.2531	0.89048483	0.23995202	9.30696312	65	63	65	0.0728	0.1147	0.00190974793553539	1
0.885	0.1693	9.4402	0.6534776	0.2585556	9.478101	66	64	66	0.0728	0.251	0.00417913454070953	1
0.7155	0.2333	9.474	0.7218099	0.17351954	9.93752058	67	65	67	0.0728	0.4674	0.0077821812124607	1
0.7669	0.1451	9.9274	0.76599085	0.13311517	9.95694897	68	66	68	0.0728	0.0319	0.000531133035253522	1
0.7376	0.1029	9.9884	0.62978957	0.29087716	10.07212092	69	67	0	0.0728	0.2323	0.00386778069245747	1
-0.1269	0.3349	8.3197	-0.02325882	0.08805592	8.66711506	70	31	70	0.0306	0.4386	0.00129021282035479	1
-0.0198	0.0948	8.6671	-0.0287474	0.098452	8.8328178	71	69	0	0.01	0.166	5.21504380495906e-05	1
-0.2247	0.3806	8.1264	-0.59016044	0.47994935	8.95086351	72	31	72	0.0658	0.9073	0.0123410630411015	1
-0.6964	0.5236	8.9179	-0.65145377	0.77439427	9.10533938	73	71	73	0.0499	0.3163	0.00247428747012039	1
-0.6289	0.7599	9.1201	-0.62637376	0.88019556	9.23476138	74	72	74	0.0658	0.1662	0.00226064661901363	1
-0.6431	0.9194	9.2188	-0.8820144	0.8846228	9.3830208	75	73	0	0.0485	0.292	0.00215782490526672	1
-0.247	0.2056	8.8397	-0.1495219	0.25817845	8.88185045	76	31	76	0.0481	0.1185	0.000861307791243718	1
-0.1496	0.2582	8.8818	-0.06087395	0.22878215	8.8956537	77	75	77	0.0477	0.0945	0.000675489245960307	1
0.0289	0.2666	8.9798	-0.07132467	0.39263577	9.03008947	78	76	78	0.0625	0.1687	0.00207026047133046	1
-0.0437	0.3958	9.0231	-0.0639776	0.67674472	9.0703668	79	77	79	0.0545	0.2856	0.00266502372945524	1
-0.0672	0.6771	9.0672	-0.04716975	0.80277675	9.05943525	80	78	80	0.053	0.1275	0.00112515355490155	1
-0.0386	0.7989	9.0645	0.02780524	0.96578804	9.08124112	81	79	81	0.0485	0.1804	0.00133312196202095	1
0.0808	1.0437	9.0289	0.07492525	1.19203091	9.24370697	82	80	82	0.0433	0.2611	0.00153791572379045	1
0.0854	1.2068	9.2387	0.01247198	1.32303344	9.4296012	83	81	0	0.0326	0.2351	0.000784942242905189	1
-0.4408	0.1381	8.9876	-0.56648755	0.0573643	8.74312955	84	32	0	0.0066	0.2865	3.92068878212414e-05	1
-0.4418	-0.1247	9.2423	-0.43555058	-0.17260244	9.23471561	85	33	85	0.0167	0.0489	4.28441641053072e-05	1
-0.4318	-0.1648	9.2127	-0.30205102	-0.07166854	9.26764317	86	84	0	0.0167	0.1689	0.000147983217124466	1
-0.5437	5e-04	9.6442	-0.7710037	-0.05243065	9.7352317	87	34	87	0.0601	0.2505	0.00284253975221356	1
-0.7727	-0.0254	9.6947	-1.01020988	0.08936038	9.78052756	88	86	88	0.0601	0.2774	0.0031477865359842	1
-1.0455	0.0867	9.7577	-1.0589708	0.2047242	9.7648638	89	87	89	0.06	0.119	0.00134585829279787	1
-1.1131	0.2537	9.8277	-1.12705008	0.44114192	9.66960728	90	88	90	0.0599	0.2456	0.00276841937448085	1
-1.1308	0.4528	9.6708	-1.05723922	0.48639925	9.57773316	91	89	91	0.0557	0.1233	0.00120177548233335	1
-1.0619	0.4867	9.5755	-0.98846272	0.59450448	9.4367936	92	90	92	0.0596	0.1904	0.0021247573303755	1
-0.9622	0.5397	9.3782	-0.835528	0.6272628	9.35324	93	91	93	0.0575	0.156	0.00162035495090528	1
-0.8605	0.6687	9.3542	-0.8021768	0.70043248	9.5067888	94	92	94	0.0557	0.1664	0.00162186082936148	1
-0.8211	0.7934	9.4858	-0.9761913	0.8193233	9.7400995	95	93	95	0.0585	0.299	0.00321464332216555	1
-0.8896	0.8655	9.8169	-0.99983418	0.84708664	9.95247012	96	94	96	0.0578	0.1757	0.00184406961102388	1
-0.925	0.9397	10.02	-1.07274356	1.01249452	10.08373494	97	95	97	0.0575	0.1766	0.00183432489955046	1
-1.0661	1.058	10.1087	-0.9049745	1.0334359	10.1106234	98	96	98	0.0572	0.163	0.00167544252675856	1
-0.8601	1.0388	10.0114	-0.74119026	0.90650234	10.05801865	99	97	0	0.0557	0.1839	0.0017924291257186	1
-0.4551	0.1629	9.88	-0.35148324	0.3415568	9.84669536	100	36	100	0.0056	0.2092	2.06104563029877e-05	1
-0.3337	0.4064	9.9372	-0.4883344	0.5416808	9.870564	101	99	101	0.0056	0.216	2.12803946531804e-05	1
-0.4987	0.556	9.8903	-0.62715992	0.51910372	9.84996956	102	100	0	0.0059	0.1396	1.52664941018959e-05	1
-0.852	-0.6804	7.7576	-0.80010984	-0.99027768	7.5525532	103	44	0	0.0076	0.3752	6.80831885550892e-05	2
-0.619	-0.2033	10.0907	-0.8102284	-0.29525516	10.04160788	104	50	104	0.0571	0.2178	0.00223089928658383	2
-0.8179	-0.2979	10.0716	-0.81274248	-0.01880529	10.09716336	105	103	105	0.0571	0.2803	0.0028710792930645	2
-0.7969	-0.017	10.1388	-0.65635072	0.18244708	10.07698248	106	104	106	0.0571	0.2517	0.00257813292209895	2
-0.6975	0.164	10.0931	-0.73748565	0.16393418	9.99094736	107	105	0	0.0571	0.1097	0.00112364394737487	2
-0.5413	-0.1266	9.9369	-0.23050192	-0.30409836	10.24028472	108	50	108	0.0185	0.4692	0.000504488572206267	2
