trait,alpha,year_loc,nRecords,eigen,tensorEVD,eigen.SE,tensorEVD.SE
yield,0.9,2014-IAH1,1557,0.384760579207229,0.383709854610681,0.0234069176117316,0.023418007025329
yield,0.9,2014-ILH1,462,0.395620318353585,0.398203760785766,0.0428212808660907,0.0427691926125639
yield,0.9,2014-INH1,477,0.537925037845287,0.549712150260834,0.0386791567332873,0.0383286769611313
yield,0.9,2014-MNH1,443,0.581479684967253,0.581469774051751,0.0387409963490717,0.0387413336622842
yield,0.9,2014-MOH2,495,0.52566140656596,0.525363853356911,0.0383133256744108,0.0383216032682698
yield,0.9,2014-NEH1,448,0.213368551732253,0.211743792161977,0.0462609546142307,0.0462776899652751
yield,0.9,2014-NEH2,458,0.160736900095029,0.166506065421629,0.0462203828581318,0.0461755738330449
yield,0.9,2014-NYH2,479,0.428150905227304,0.424449680151892,0.041377912720647,0.0414577774911433
yield,0.9,2014-WIH1,487,0.544039188959371,0.557486186977354,0.0380997432379375,0.0376968141433141
yield,0.9,2015-ILH1,477,0.475302270424031,0.477091099725083,0.040369028037522,0.0403245800072914
yield,0.9,2015-INH1,487,0.362932788807781,0.347671699176368,0.0423115540947603,0.0425749645614158
yield,0.9,2015-KSH1,476,0.238016380181175,0.233167342836746,0.044611501675954,0.0446654934878313
yield,0.9,2015-MNH1,486,0.372688850146576,0.387672393710611,0.0421798349106748,0.0418998736451152
yield,0.9,2015-MOH1,487,0.170532626663448,0.181967203564122,0.0447425308687698,0.0446495618668441
yield,0.9,2015-MOH2,484,0.29388306518165,0.284140578782458,0.0435373818488904,0.0436713521062814
yield,0.9,2015-NEH2,466,0.174628137793182,0.180092724645919,0.0457105071084282,0.0456647880485688
yield,0.9,2015-NEH3,267,0.165718341609613,0.181263329395671,0.0605801334660994,0.0604119070300323
yield,0.9,2015-NYH2,457,0.381668128316042,0.381667693748411,0.0433318257231392,0.0433318341356298
yield,0.9,2015-NYH3,483,0.414129605063532,0.416545761955503,0.041502364990597,0.0414520645480419
yield,0.9,2015-OHH1,490,0.555190204914646,0.562981824436892,0.0376503498657583,0.0374125062743037
yield,0.9,2015-SDH1,454,0.437646416854329,0.450225183478827,0.0422923248181961,0.0419991909994108
yield,0.9,2016-IAH2,785,0.520660360799622,0.522460173698709,0.0305110324600428,0.0304717143068009
yield,0.9,2016-IAH3,771,0.28578247897618,0.28575553620347,0.0345569839926186,0.0345572737225888
yield,0.9,2016-IAH4,811,0.452056571327901,0.462091667352486,0.0313606726296883,0.0311793585439647
yield,0.9,2016-ILH1,334,0.251335433028272,0.257608838660614,0.0531204161765753,0.0530298190224519
yield,0.9,2016-INH1,472,0.594856614724295,0.593970851762174,0.0370779973729547,0.037108197960367
yield,0.9,2016-MIH1,473,0.515035362442349,0.517129137015452,0.0394962594760373,0.0394381306336409
yield,0.9,2016-MNH1,417,0.536412532820468,0.545764956874157,0.0414281667361226,0.0411327739009992
yield,0.9,2016-NEH1,235,0.536357825925366,0.543470714028912,0.0552916684023469,0.0549927651500965
yield,0.9,2016-NEH4,219,0.358296925606206,0.353545910446174,0.0633774194441282,0.0635002554226434
yield,0.9,2016-NYH1,388,0.453780031909314,0.454113980975947,0.0453564947174932,0.0453478350730082
yield,0.9,2016-NYH2,339,0.296259222297267,0.297477812187526,0.0520280246670309,0.0520073879497277
yield,0.9,2016-NYH2L,97,0.292092222794558,0.299601357334101,0.0981235597753071,0.0978849500116048
yield,0.9,2016-WIH1,645,0.608254252110539,0.61108550233304,0.0313021388322504,0.0312162603887283
yield,0.9,2016-WIH2,830,0.615451404576963,0.614403429840183,0.0273909689400306,0.0274193685158413
yield,0.9,2017-COH1,860,0.515081095745456,0.518494678033309,0.0292623266080255,0.0291919790699027
yield,0.9,2017-IAH4,685,0.562471275781089,0.55737760057758,0.0316372666051414,0.031768982413567
yield,0.9,2017-ILH1,350,0.0580911343140977,0.0473453489079761,0.0535151020717812,0.0535455123294468
yield,0.9,2017-INH1,327,0.460951779077697,0.464736897594415,0.0492254923752413,0.0491158635195883
yield,0.9,2017-MIH1,373,0.530192525048137,0.528997089735033,0.044019595195099,0.0440583440381624
yield,0.9,2017-MNH1,431,0.399226820530745,0.400293563045303,0.0442660410593688,0.0442435794239524
yield,0.9,2017-NYH1,410,0.388190464427627,0.397487084926078,0.0456249674543924,0.0454283538834636
yield,0.9,2017-NYH2,396,0.280301862399824,0.277604517036787,0.0483596631516399,0.048399137156192
yield,0.9,2017-NYH3,259,0.219139518267814,0.22101093410371,0.0608620904394431,0.0608357540980582
yield,0.9,2017-WIH1,572,0.573493959837497,0.567193837521211,0.0343129221740534,0.0344961515951217
yield,0.9,2017-WIH2,574,0.583144060561399,0.583009183493005,0.0339668442984382,0.0339708917964408
yield,0.9,2018-IAH2,730,0.428920085146717,0.421739827370777,0.0334800982493794,0.0336051637435753
yield,0.9,2018-IAH4,1357,0.388959050677295,0.388914156397552,0.025027082849149,0.0250275977407787
yield,0.9,2018-ILH1,489,0.519227603250409,0.520107222105985,0.0387272539327558,0.0387030095957986
yield,0.9,2018-INH1,488,0.336077962632743,0.342664308775008,0.0427224655156735,0.0426146763560339
yield,0.9,2018-MIH1,476,0.350987398176894,0.336988265155434,0.0430093662235998,0.0432449335865135
yield,0.9,2018-MNH1,1763,0.699482325995465,0.699234727126071,0.0170299611654571,0.0170357341701837
yield,0.9,2018-MOH1,1279,0.215940837743862,0.215689126930395,0.0273234283600878,0.0273249852037523
yield,0.9,2018-NYH1,476,0.388502997862185,0.387845255373784,0.0423234835376259,0.0423362085276656
yield,0.9,2018-NYH2,675,0.281460743388965,0.28062148710538,0.0369888110050928,0.0369982847876557
yield,0.9,2018-NYH3,683,0.26071084362987,0.261135186180868,0.0369948572846577,0.0369904622095505
yield,0.9,2018-OHH1,479,0.292028375193782,0.297191240044427,0.0437909898566368,0.0437181118730673
yield,0.9,2018-WIH1,765,0.3540519064256,0.356604052371103,0.033857446268624,0.0338223240862553
yield,0.9,2018-WIH2,1529,0.108185004081946,0.11028415487196,0.0254404038605254,0.0254345006111519
yield,0.9,2019-IAH4,1516,0.128010990088224,0.128068647869017,0.0254887908434975,0.0254885995370993
yield,0.9,2019-ILH1,473,0.352886382810616,0.360335637439209,0.0431132218188155,0.0429822021230246
yield,0.9,2019-INH1,463,0.333172254478579,0.334271690842755,0.0439136464997612,0.0438955187406665
yield,0.9,2019-MIH1,480,0.187217015973109,0.18694504792393,0.0449302059621766,0.0449325749885063
yield,0.9,2019-MNH1,1517,0.376974612122798,0.378462106359764,0.0237963047553567,0.0237807148486477
yield,0.9,2019-MOH1,661,0.230537909136815,0.227130083728707,0.0379051662361641,0.0379363720368227
yield,0.9,2019-NEH1,340,0.202119412214781,0.203525063324977,0.0532702094663204,0.0532543730626097
yield,0.9,2019-NEH2,170,0.231541475744591,0.226131801746306,0.0750550807665221,0.0751531930791624
yield,0.9,2019-NEH2L,174,0.122300316533578,0.116682393605644,0.0756768924431971,0.0757284476601382
yield,0.9,2019-NYH1,479,0.172807194799212,0.167812620677086,0.0450980221348233,0.0451375471668313
yield,0.9,2019-NYH2,769,0.0188123584476113,0.0163378292784191,0.0361015172869055,0.0361030878665518
yield,0.9,2019-NYH3,757,0.0763415452991629,0.0769776078223036,0.0362875193997496,0.0362857395938513
yield,0.9,2019-OHH1,477,0.196587427298051,0.206224790341343,0.0449877967881194,0.0448968721416366
yield,0.9,2019-WIH1,754,0.0361962175286003,0.0153962340468336,0.036442351622858,0.0364619255652673
yield,0.9,2019-WIH2,1472,0.401210740541355,0.399755308046492,0.0238907653248199,0.0239073565328089
yield,0.9,2020-INH1,576,0.366211068751588,0.379536832981354,0.0388396474110812,0.0386161263367868
yield,0.9,2020-MIH1,883,0.258064406243909,0.26512792064223,0.0325496697586337,0.0324851696835816
yield,0.9,2020-MNH1,483,0.318921212387321,0.329649086929681,0.0432151043003127,0.0430474157056179
yield,0.9,2020-NEH1,536,0.310957341132954,0.330192144368746,0.0411288632623131,0.0408471423825299
yield,0.9,2020-NEH2,528,0.234428834191114,0.235567986858535,0.0423870254581036,0.0423750169323164
yield,0.9,2020-NYH1,38,0.136601112809003,0.149211153401015,0.165104355550205,0.164800892636871
yield,0.9,2020-NYH2,473,0.135475884058544,0.135961669844942,0.0456527622649201,0.0456496959881086
yield,0.9,2020-NYH3,475,0.219540734023369,0.221142230983817,0.0448582891080434,0.0448416550172263
yield,0.9,2020-OHH1,487,0.332029780277634,0.340655583703114,0.0428316345420518,0.0426917450986828
yield,0.9,2020-WIH1,487,0.235425169567383,0.236673813674717,0.044131364107725,0.0441175913653234
yield,0.9,2020-WIH2,1510,0.252012243736881,0.25384003815314,0.0249201620273351,0.0249078571838218
