trait,method,alpha,replicate,source,mean,SD
yield,eigen,0.9,1,G,0.0695652174203232,0.00420274443134359
yield,eigen,0.9,1,E,0.484190619855068,0.0119572940452214
yield,eigen,0.9,1,GE,0.0758249588348899,0.00406833829003033
yield,eigen,0.9,1,Error,0.391923121755556,0.00240988983357401
anthesis,eigen,0.9,1,G,0.127806388834301,0.00492683473640111
anthesis,eigen,0.9,1,E,0.852847868603655,0.0088386605764866
anthesis,eigen,0.9,1,GE,0.0428863201883102,0.00139286500695833
anthesis,eigen,0.9,1,Error,0.0602138501888889,0.000371410493434408
silking,eigen,0.9,1,G,0.139666984738271,0.00517291031359091
silking,eigen,0.9,1,E,0.844165396012123,0.00915893214506136
silking,eigen,0.9,1,GE,0.0407865641519323,0.00134137097909821
silking,eigen,0.9,1,Error,0.0646100020055556,0.000398151940931846
ASI,eigen,0.9,1,G,0.0807002789354407,0.0056078032019471
ASI,eigen,0.9,1,E,0.316837037872973,0.0095432512779351
ASI,eigen,0.9,1,GE,0.0772095596882243,0.00407788009625008
ASI,eigen,0.9,1,Error,0.563526606677778,0.00344173270055539
yield,tensorEVD,0.9,1,G,0.0697816024087177,0.00459048317733535
yield,tensorEVD,0.9,1,E,0.483504434306537,0.0121797546769512
yield,tensorEVD,0.9,1,GE,0.0822328160431888,0.00448346451567544
yield,tensorEVD,0.9,1,Error,0.387751327155556,0.00239964455925905
anthesis,tensorEVD,0.9,1,G,0.126918879238925,0.00512076801342944
anthesis,tensorEVD,0.9,1,E,0.851908851012367,0.00914779551085214
anthesis,tensorEVD,0.9,1,GE,0.0436617178339059,0.0014271424868153
anthesis,tensorEVD,0.9,1,Error,0.0591942884644444,0.000367383812390134
silking,tensorEVD,0.9,1,G,0.138450714601684,0.00530535488577957
silking,tensorEVD,0.9,1,E,0.843265059876193,0.00942596375734491
silking,tensorEVD,0.9,1,GE,0.0417996093278394,0.00136214088004028
silking,tensorEVD,0.9,1,Error,0.06354794197,0.000394103556711457
ASI,tensorEVD,0.9,1,G,0.0815023970531428,0.00615519547527417
ASI,tensorEVD,0.9,1,E,0.316860764538551,0.00976562748641733
ASI,tensorEVD,0.9,1,GE,0.0836547093448671,0.00440785636524019
ASI,tensorEVD,0.9,1,Error,0.559124050266667,0.00343270017663488
yield,eigen,0.95,1,G,0.0684363960419919,0.00434447207854991
yield,eigen,0.95,1,E,0.559608397683105,0.0191035494586185
yield,eigen,0.95,1,GE,0.0833490086547139,0.00418308336746858
yield,eigen,0.95,1,Error,0.385722450377778,0.00243015392786529
anthesis,eigen,0.95,1,G,0.125844770671007,0.00502254890545964
anthesis,eigen,0.95,1,E,0.779954480821124,0.0120598466564265
anthesis,eigen,0.95,1,GE,0.0439882112284106,0.00130677346813943
anthesis,eigen,0.95,1,Error,0.0586053839622222,0.000368273611866368
silking,eigen,0.95,1,G,0.138072299016485,0.00532576903432494
silking,eigen,0.95,1,E,0.80291369535174,0.0126066815471301
silking,eigen,0.95,1,GE,0.041968416065521,0.00125367363953558
silking,eigen,0.95,1,Error,0.0629685952788889,0.000395412369690401
ASI,eigen,0.95,1,G,0.0787412562883205,0.00615144581061978
ASI,eigen,0.95,1,E,0.338000847105684,0.0198704462831793
ASI,eigen,0.95,1,GE,0.0860027406413657,0.00431210846647786
ASI,eigen,0.95,1,Error,0.556443961,0.003486199394449
yield,tensorEVD,0.95,1,G,0.0688595107146938,0.00452153606949271
yield,tensorEVD,0.95,1,E,0.558469075174411,0.0187211982130004
yield,tensorEVD,0.95,1,GE,0.087924144832181,0.00437853170920312
yield,tensorEVD,0.95,1,Error,0.382941073455556,0.00241363370148536
anthesis,tensorEVD,0.95,1,G,0.125633302941437,0.00485476889084591
anthesis,tensorEVD,0.95,1,E,0.781181369567902,0.0122293281676551
anthesis,tensorEVD,0.95,1,GE,0.0444838441647897,0.0013327990386001
anthesis,tensorEVD,0.95,1,Error,0.0582012669811111,0.000372682070486977
silking,tensorEVD,0.95,1,G,0.137980478691952,0.00515790583851615
silking,tensorEVD,0.95,1,E,0.804952247530266,0.0145078342251169
silking,tensorEVD,0.95,1,GE,0.0426200951521243,0.00128502513742737
silking,tensorEVD,0.95,1,Error,0.0625167188188889,0.000400319545359946
ASI,tensorEVD,0.95,1,G,0.0786052793245268,0.00599218405280555
ASI,tensorEVD,0.95,1,E,0.341623013647088,0.0210367865660392
ASI,tensorEVD,0.95,1,GE,0.090185203630616,0.00437332200658151
ASI,tensorEVD,0.95,1,Error,0.553604357677778,0.00348511712888345
yield,eigen,0.98,1,G,0.0679479478343122,0.00448880649630853
yield,eigen,0.98,1,E,0.603202469706722,0.0400352958259172
yield,eigen,0.98,1,GE,0.0900490547585804,0.00437740296171037
yield,eigen,0.98,1,Error,0.380471808833333,0.00242587906968744
anthesis,eigen,0.98,1,G,0.125716513071491,0.00523850385563561
anthesis,eigen,0.98,1,E,0.779616402253586,0.0356031952430593
anthesis,eigen,0.98,1,GE,0.0447627095303728,0.00136398578282799
anthesis,eigen,0.98,1,Error,0.0577029389944444,0.000364615836345524
silking,eigen,0.98,1,G,0.138222705323394,0.00556368315152305
silking,eigen,0.98,1,E,0.798595087005297,0.0325050624028084
silking,eigen,0.98,1,GE,0.0428302822916135,0.00130336271641567
silking,eigen,0.98,1,Error,0.0620477649244444,0.000391436661268168
ASI,eigen,0.98,1,G,0.0780854451559246,0.00635108176551004
ASI,eigen,0.98,1,E,0.33439375396156,0.0309007092304845
ASI,eigen,0.98,1,GE,0.0930847085744343,0.00447240536908419
ASI,eigen,0.98,1,Error,0.550605646077778,0.0034738583617045
yield,tensorEVD,0.98,1,G,0.0683847261555192,0.00476421832291945
yield,tensorEVD,0.98,1,E,0.565163705730043,0.0258038571776557
