alpha,nG,nE,n,replicate,nComb,nPosEigen,time_eigen,Frobenius_eigen,CMD_eigen,nPC_eigen,pPC_eigen,time_tensorEVD,Frobenius_tensorEVD,CMD_tensorEVD,nPC_tensorEVD,pPC_tensorEVD,time_trlan,Frobenius_trlan,CMD_trlan,nPC_trlan,pPC_trlan,time_eigs,Frobenius_eigs,CMD_eigs,nPC_eigs,pPC_eigs,time_chol,Frobenius_chol,CMD_chol,nPC_chol,pPC_chol
0.9,100,10,10000,1,1000,1000,242.12,144.43306554556,0.0041262743258057,406,0.406,0.121999999999986,139.11849995749,0.00345156426244597,423,0.423,50.798,144.433065545562,0.00412627432580626,406,0.406,31.253,144.433065545555,0.0041262743258057,406,0.406,,,,,
0.9,500,10,10000,1,4329,4329,243.954,139.034963502514,0.00184443014275137,968,0.223608223608224,0.282999999999959,129.809341938914,0.00134038594339647,1128,0.260568260568261,132.877,139.034963502514,0.00184443014275137,968,0.223608223608224,98.201,139.034963502457,0.00184443014274915,968,0.223608223608224,,,,,
0.9,1000,10,10000,1,6376,6376,248.545,124.043437990587,0.00234224399653793,1566,0.245608531994981,0.855999999999995,114.217072377893,0.00143119857930263,2079,0.326066499372647,417.16,124.043437990587,0.00234224399653815,1566,0.245608531994981,287.89,124.043437990527,0.00234224399653749,1566,0.245608531994981,,,,,
0.9,100,30,10000,1,2899,2899,240.986,105.349920078392,0.00218699297444058,765,0.263884097964815,0.241000000000014,98.9266665906633,0.0015617821750783,837,0.288720248361504,181.275,105.349920078391,0.00218699297444147,765,0.263884097964815,131.246,105.349920078359,0.00218699297443703,765,0.263884097964815,,,,,
0.9,500,30,10000,1,7253,7253,251.789,111.823551273673,0.00196201941435714,1737,0.239487108782573,0.836000000000013,98.5785982696062,0.00108244695713033,2397,0.33048393768096,472.3,111.823551273672,0.00196201941435725,1737,0.239487108782573,331.67,111.823551273581,0.00196201941436125,1737,0.239487108782573,,,,,
0.9,1000,30,10000,1,8483,8483,254.031,104.045315308982,0.00177862899050529,2298,0.270894730637746,1.512,88.4820285625592,0.000876178961012664,3828,0.451255452080632,647.166,104.045315308982,0.00177862899050485,2298,0.270894730637746,499.506,104.045315308892,0.00177862899050119,2298,0.270894730637746,,,,,
0.9,100,50,10000,1,4313,4313,243.424,102.95098036114,0.00172473341502877,878,0.203570600510086,0.220999999999947,97.5380232873906,0.00128594858120135,984,0.228147461163923,213.853,102.95098036114,0.00172473341502843,878,0.203570600510086,155.854,102.950980361102,0.00172473341502943,878,0.203570600510086,,,,,
0.9,500,50,10000,1,8210,8210,255.377,92.0551031702465,0.00154259724462891,2225,0.271010962241169,1.113,79.3311744818219,0.000833296684352392,3440,0.419001218026797,623.274,92.0551031702466,0.00154259724462857,2225,0.271010962241169,464.331,92.0551031701478,0.00154259724462569,2225,0.271010962241169,,,,,
0.9,1000,50,10000,1,9053,9053,257.996,94.5793664076537,0.0016981138864911,2753,0.30409808903126,2.51900000000001,78.5703023573269,0.000901653225815702,5186,0.57284877941014,794.898,94.5793664076532,0.00169811388649077,2753,0.30409808903126,864.245,94.579366407532,0.00169811388649244,2753,0.30409808903126,,,,,
0.9,100,10,20000,1,1000,1000,2519.363,314.359345814474,0.00502258273433376,411,0.411,0.309999999999945,309.377906318557,0.00468393548009294,419,0.419,356.033,314.359345814474,0.00502258273433631,411,0.411,154.406,314.359345814467,0.00502258273433598,411,0.411,,,,,
0.9,500,10,20000,1,4913,4913,2523.922,291.019963360603,0.00333296258159144,1163,0.236718909016894,1.00700000000006,285.154865620198,0.00284173083836348,1273,0.259108487685732,846.241,291.019963360602,0.00333296258159144,1163,0.236718909016894,418.316,291.019963360533,0.0033329625815951,1163,0.236718909016894,,,,,
0.9,1000,10,20000,1,8666,8666,2461.226,260.925164071678,0.002760303394862,1772,0.204477267482114,1.74499999999989,245.635182283534,0.0020174918921585,2072,0.239095315024233,898.329,260.925164071678,0.00276030339486244,1772,0.204477267482114,675.341,260.925164071548,0.00276030339486266,1772,0.204477267482114,,,,,
0.9,100,30,20000,1,2997,2997,2442.419,207.091323152152,0.00156696602636497,786,0.262262262262262,0.664999999999964,200.629078610726,0.00127248317955753,823,0.274607941274608,367.048,207.091323152153,0.00156696602636508,786,0.262262262262262,226.684,207.09132315208,0.00156696602636952,786,0.262262262262262,,,,,
0.9,500,30,20000,1,11084,11084,1365.331,203.238396597677,0.00168771588495464,2245,0.202544207867196,1.45299999999997,187.952875347712,0.00103224709724903,2730,0.246300974377481,1168.715,203.238396597677,0.00168771588495464,2245,0.202544207867196,962.322,203.238396597473,0.00168771588495864,2245,0.202544207867196,,,,,
0.9,1000,30,20000,1,14645,14645,1368.539,199.168721832373,0.00177863149340851,3062,0.209081597814954,2.80300000000011,177.427306713126,0.0010202488749218,4226,0.288562649368385,1875.99,199.168721832372,0.0017786314934084,3062,0.209081597814954,1645.116,199.168721832135,0.00177863149340685,3062,0.209081597814954,,,,,
0.9,100,50,20000,1,4913,4913,1410.814,195.065269822583,0.00187828263357448,979,0.199267250152656,0.783999999999878,190.108606075307,0.00162304228895105,1037,0.211072664359862,477.3,195.065269822582,0.00187828263357437,979,0.199267250152656,304.579,195.065269822525,0.0018782826335787,979,0.199267250152656,,,,,
0.9,500,50,20000,1,13776,13776,1417.097,182.442841051073,0.00132691307595423,2601,0.188806620209059,2.78400000000011,164.693825840997,0.00077945958548642,3318,0.240853658536585,1373.79,182.442841051074,0.00132691307595434,2601,0.188806620209059,1233.246,182.442841050831,0.00132691307595134,2601,0.188806620209059,,,,,
0.9,1000,50,20000,1,16472,16472,1460.672,183.623346006813,0.00142432995044051,3506,0.212846041767848,5.51400000000012,161.17961127188,0.000854508950215105,5103,0.309798445847499,2298.648,183.623346006811,0.00142432995044073,3506,0.212846041767848,2197.952,183.623346006512,0.00142432995044595,3506,0.212846041767848,,,,,
0.9,100,10,30000,1,1000,1000,4690.689,463.980931752316,0.00446760698570314,392,0.392,0.403000000000247,458.102772718054,0.00424745446574559,397,0.397,407.189,463.980931752316,0.00446760698570425,392,0.392,224.973,463.980931752293,0.00446760698569815,392,0.392,,,,,
0.9,500,10,30000,1,4990,4990,4809.343,362.549161114939,0.00159882894307317,1240,0.248496993987976,1.29899999999998,354.986102286022,0.0012943085733137,1312,0.262925851703407,1415.229,362.549161114939,0.00159882894307362,1240,0.248496993987976,895.766,362.549161114766,0.0015988289430765,1240,0.248496993987976,,,,,
0.9,1000,10,30000,1,9504,9504,4745.629,386.91775828918,0.00234074273295493,1703,0.17918771043771,2.48799999999937,377.315892446579,0.0020176521819395,1871,0.196864478114478,1944.309,386.91775828918,0.0023407427329547,1703,0.17918771043771,1291.111,386.91775828897,0.00234074273295226,1703,0.17918771043771,,,,,
0.9,100,30,30000,1,2999,2999,4808.357,313.82306694583,0.00199916470390038,774,0.258086028676225,0.838999999999942,308.145797715739,0.00178292581909845,798,0.266088696232077,819.761,313.823066945831,0.00199916470390038,774,0.258086028676225,503.124,313.823066945765,0.00199916470390138,774,0.258086028676225,,,,,
0.9,500,30,30000,1,12884,12884,4770.921,298.826796848387,0.00143077041043727,2159,0.167572182552002,2.85699999999997,285.951093682077,0.0010286462760245,2438,0.189226948152748,2511.719,298.826796848387,0.00143077041043727,2159,0.167572182552002,1781.076,298.826796848069,0.00143077041043538,2159,0.167572182552002,,,,,
0.9,1000,30,30000,1,18994,18994,4871.729,294.538732055233,0.00139533821847693,3293,0.173370538064652,4.8690000000006,277.183838589415,0.000967214676533046,4050,0.21322522901969,4311.278,294.538732055231,0.00139533821847704,3293,0.173370538064652,3488.951,294.53873205472,0.00139533821847926,3293,0.173370538064652,,,,,
0.9,100,50,30000,1,4990,4990,4722.432,291.463081396606,0.00128875957712593,1013,0.203006012024048,1.18000000000029,285.930002370464,0.00109147166539048,1055,0.211422845691383,1076.743,291.463081396606,0.00128875957712538,1013,0.203006012024048,673.82,291.463081396456,0.0012887595771236,1013,0.203006012024048,,,,,
0.9,500,50,30000,1,17357,17357,5714.872,259.92151072668,0.00125252141014198,2968,0.170997292158783,4.90599999999995,241.472302631177,0.000834817859337589,3547,0.204355591404044,3809.727,259.92151072668,0.00125252141014154,2968,0.170997292158783,2970.971,259.921510726281,0.00125252141014365,2968,0.170997292158783,,,,,
0.9,1000,50,30000,1,22575,22575,5841.327,262.736382796423,0.00112967430544131,3740,0.165669988925803,7.89800000000014,241.599227311598,0.000761139364430785,4786,0.212004429678848,4860.317,262.736382796423,0.00112967430544109,3740,0.165669988925803,4112.588,262.736382795926,0.00112967430544453,3740,0.165669988925803,,,,,
0.95,100,10,10000,1,1000,1000,176.2,75.8860463749562,0.00151317854769018,556,0.556,0.12700000000001,72.0590624063332,0.00117267034945945,575,0.575,70.04,75.886046374957,0.00151317854768851,556,0.556,43.257,75.886046374947,0.00151317854769095,556,0.556,,,,,
