area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020
E06000001,0.616,0.604,0.586,0.569,0.546,0.515,0.487,0.463,0.434,0.400,0.367,0.337,0.306,0.271,0.231,0.182,0.140,0.118,0.097,0.076,0.053,0.027,0.011,0.000
E06000002,0.601,0.589,0.571,0.556,0.534,0.506,0.484,0.464,0.444,0.422,0.400,0.375,0.337,0.294,0.252,0.207,0.169,0.148,0.124,0.098,0.070,0.035,0.014,0.000
E06000003,0.569,0.557,0.539,0.522,0.498,0.464,0.437,0.414,0.392,0.368,0.345,0.318,0.282,0.244,0.207,0.171,0.140,0.121,0.100,0.076,0.050,0.024,0.010,0.000
E06000004,0.577,0.564,0.546,0.531,0.514,0.490,0.462,0.434,0.404,0.367,0.333,0.298,0.260,0.226,0.189,0.143,0.103,0.080,0.059,0.042,0.029,0.016,0.007,0.000
E06000005,0.630,0.618,0.601,0.586,0.564,0.533,0.502,0.474,0.450,0.425,0.399,0.369,0.334,0.298,0.259,0.215,0.176,0.153,0.130,0.101,0.069,0.036,0.016,0.000
E06000006,0.578,0.569,0.552,0.536,0.515,0.485,0.461,0.439,0.415,0.391,0.367,0.340,0.308,0.279,0.248,0.202,0.158,0.134,0.111,0.085,0.058,0.028,0.011,0.000
E06000007,0.574,0.561,0.542,0.526,0.505,0.478,0.456,0.436,0.412,0.387,0.363,0.336,0.306,0.274,0.234,0.186,0.145,0.122,0.100,0.077,0.054,0.030,0.015,0.000
E06000008,0.622,0.611,0.594,0.576,0.549,0.514,0.485,0.460,0.438,0.416,0.394,0.363,0.325,0.286,0.246,0.206,0.172,0.150,0.127,0.101,0.072,0.040,0.019,0.000
E06000009,0.647,0.634,0.615,0.597,0.573,0.538,0.503,0.469,0.437,0.407,0.383,0.358,0.330,0.305,0.281,0.250,0.220,0.198,0.168,0.130,0.087,0.042,0.017,0.000
E06000010,0.667,0.655,0.638,0.621,0.601,0.578,0.555,0.531,0.506,0.477,0.448,0.416,0.380,0.343,0.302,0.253,0.211,0.183,0.155,0.122,0.085,0.044,0.019,0.000
E06000011,0.624,0.613,0.595,0.576,0.552,0.521,0.494,0.468,0.444,0.418,0.395,0.370,0.341,0.305,0.257,0.204,0.163,0.139,0.117,0.092,0.060,0.029,0.013,0.000
E06000012,0.597,0.585,0.568,0.553,0.531,0.501,0.473,0.447,0.424,0.402,0.380,0.354,0.322,0.282,0.237,0.191,0.153,0.132,0.108,0.082,0.055,0.027,0.011,0.000
E06000013,0.578,0.566,0.546,0.528,0.504,0.470,0.434,0.400,0.368,0.336,0.306,0.278,0.250,0.219,0.184,0.148,0.119,0.102,0.084,0.062,0.042,0.022,0.009,0.000
E06000014,0.614,0.601,0.583,0.567,0.549,0.529,0.512,0.495,0.476,0.455,0.435,0.409,0.375,0.343,0.310,0.250,0.187,0.156,0.130,0.101,0.069,0.036,0.014,0.000
