[ECIS_Parameters],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename , C:\Users\jhuc964\Desktop\ECIS R\vascr\inst\extdata\instruments\ecis_TimeResample.abp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version , 1.2.163.0 PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileType , RBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExportVersion , 1.2.252.0 PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument , Z-Theta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SerialNum ,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellNum ,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date , 2020-07-23, 16:54:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DateNum ,737995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeNum ,60884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExptType , MFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrayHolderA , 96W20idf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniArrayFormat ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInterval ,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wells ,1,2,3,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency ,250,500,1000,2000,4000,8000,16000,32000,64000, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Headings],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A01, A01, A01, A01, A01,B01, B01, B01, B01, B01,C01, C01, C01, C01, C01,E02, E02, E02, E02, E02,F02, F02, F02, F02, F02,G02, G02, G02, G02, G02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
