C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : CPE_A(sⁿ⁻¹·µF/cm²)

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,46.78,42.87,,,,,
1.30,46.13,51.84,,,56.65,52.99,,
2.57,47.14,51.21,51.82,,57.22,53.00,53.64,
3.84,47.37,50.61,51.38,,56.93,52.15,52.31,
5.11,47.02,49.67,50.45,,56.39,51.37,51.51,
6.38,46.73,49.01,49.95,,55.91,50.85,51.05,
7.65,46.31,48.56,49.46,,55.64,50.57,50.72,
8.92,46.17,48.32,49.23,,55.17,50.14,50.25,
10.19,46.09,48.18,49.12,,54.73,49.73,49.88,
11.46,45.89,47.87,48.88,,54.43,49.54,49.56,
12.73,45.63,47.59,48.60,,54.11,49.24,49.34,
14.00,45.53,47.43,48.48,,53.92,49.14,49.15,
15.27,45.50,47.34,48.45,,53.49,48.82,48.71,
16.53,45.28,47.05,48.19,,53.27,48.68,48.57,50.15
17.80,45.25,46.93,48.06,,53.22,48.71,48.53,50.09
19.07,45.21,46.85,48.01,,52.81,48.41,48.17,49.70
20.34,45.17,46.75,47.94,,52.73,48.35,48.14,49.66
21.61,45.05,46.57,47.78,,52.53,48.29,48.08,49.56
22.88,45.01,46.48,47.69,44.13,52.17,48.13,47.75,49.24
24.15,44.85,46.29,47.50,43.90,51.91,47.97,47.52,49.06
25.42,44.86,46.26,47.46,43.86,51.74,47.94,47.39,49.01
26.69,44.94,46.34,47.55,43.91,51.63,47.94,47.29,49.01
27.96,44.89,46.31,47.50,43.85,51.43,47.69,46.94,48.78
29.23,44.68,46.07,47.28,43.56,51.43,47.62,46.71,48.78
30.49,44.74,46.14,47.34,43.57,51.11,47.37,46.36,48.54
31.76,44.52,45.95,47.15,43.37,50.91,47.29,46.18,48.52
33.03,44.65,46.03,47.24,43.40,50.54,47.03,45.84,48.33
34.29,44.44,45.82,47.04,43.10,50.37,46.94,45.66,48.24
35.56,44.42,45.75,47.02,42.98,50.19,46.78,45.40,48.15
36.83,44.37,45.66,46.98,42.83,49.94,46.60,45.05,48.01
38.10,44.48,45.70,47.03,42.79,49.76,46.50,44.83,47.93
39.37,44.37,45.51,46.85,42.55,49.57,46.34,44.60,47.80
40.64,44.43,45.45,46.85,42.47,49.47,46.30,44.45,47.78
41.91,44.40,45.26,46.73,42.24,49.17,46.12,44.22,47.64
43.18,44.55,45.27,46.83,42.30,48.87,45.93,43.94,47.44
44.45,44.65,45.21,46.76,42.20,48.72,45.82,43.83,47.41
45.72,44.63,45.01,46.60,41.99,48.55,45.75,43.68,47.35
46.98,44.88,44.97,46.61,41.97,48.29,45.56,43.39,47.17
48.25,45.42,46.99,48.11,44.54,48.66,47.57,45.07,47.26



C:\Users\jhuc964\Desktop\ECIS R\vascrdata\inst\compare\200723071429 New Measurement.cZsx
Parameter : CPE_n()

time (h),A1,A2,A4,A5,B1,B2,B4,B5
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1
0.03,,0.80,0.80,,,,,
1.30,0.83,0.82,,,0.81,0.83,,
2.57,0.84,0.83,0.81,,0.81,0.83,0.82,
3.84,0.84,0.83,0.81,,0.82,0.84,0.82,
5.11,0.84,0.83,0.82,,0.82,0.84,0.82,
6.38,0.84,0.83,0.82,,0.82,0.84,0.83,
7.65,0.84,0.83,0.82,,0.82,0.84,0.83,
8.92,0.84,0.84,0.82,,0.82,0.84,0.83,
10.19,0.84,0.84,0.82,,0.82,0.85,0.83,
11.46,0.84,0.84,0.82,,0.82,0.85,0.83,
12.73,0.84,0.84,0.82,,0.82,0.85,0.83,
14.00,0.84,0.84,0.82,,0.82,0.85,0.83,
15.27,0.84,0.84,0.82,,0.82,0.85,0.83,
16.53,0.84,0.84,0.82,,0.83,0.85,0.83,0.83
17.80,0.84,0.84,0.82,,0.82,0.85,0.83,0.83
19.07,0.84,0.84,0.82,,0.83,0.85,0.83,0.83
20.34,0.84,0.84,0.82,,0.83,0.85,0.83,0.83
21.61,0.84,0.84,0.83,,0.83,0.85,0.83,0.83
22.88,0.84,0.84,0.83,0.85,0.83,0.85,0.83,0.83
24.15,0.85,0.84,0.83,0.85,0.83,0.85,0.83,0.83
