Well: A1 - 80,000 HCMVEC
Spectrum: Run.1 measured at 23/07/2020 5:09:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,18236.62,-73.17
1.29,14685.62,-72.85
1.67,11956.06,-72.70
2.15,9640.97,-72.65
2.78,7819.15,-72.51
3.59,6304.92,-72.44
4.64,5083.89,-72.15
5.99,4208.77,-72.06
7.74,3405.16,-71.60
10.00,2760.39,-71.13
12.92,2231.98,-70.54
16.68,1810.73,-69.63
21.54,1471.40,-68.66
27.83,1197.66,-67.49
35.94,977.07,-66.05
46.42,798.53,-64.31
59.95,656.28,-62.25
77.43,542.33,-59.88
100.00,451.32,-57.04
129.15,379.71,-53.79
166.81,322.72,-50.03
215.44,279.09,-45.98
278.26,244.97,-41.82
359.38,218.41,-37.59
464.16,198.59,-33.71
599.48,181.84,-29.99
774.26,168.06,-26.46
1000.00,157.45,-23.29
1291.55,148.86,-20.36
1668.10,141.75,-17.64
2154.43,135.95,-15.19
2782.56,131.33,-13.02
3593.81,127.51,-10.98
4641.59,124.69,-9.21
5994.84,122.42,-7.65
7742.64,120.42,-6.30
10000.00,119.03,-5.08
12915.50,118.21,-4.02
16681.01,117.40,-2.97
21544.35,116.72,-2.09
27825.59,116.07,-1.44
35938.14,115.86,-0.60
46415.89,115.47,-0.16
59948.43,115.08,0.60
77426.37,114.65,1.33
100000.00,114.07,2.22


Well: A1 - 80,000 HCMVEC
Spectrum: Run.5 measured at 23/07/2020 6:26:33 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14389.47,-74.40
1.29,11575.44,-74.31
1.67,9367.05,-73.84
2.15,7531.26,-73.73
2.78,6088.47,-73.49
3.59,4893.30,-73.27
4.64,4029.04,-73.17
5.99,3259.73,-72.74
7.74,2630.80,-72.16
10.00,2122.75,-71.38
12.92,1713.28,-70.45
16.68,1388.56,-69.35
21.54,1126.77,-68.04
27.83,917.12,-66.39
35.94,749.27,-64.46
46.42,614.92,-62.23
59.95,508.95,-59.55
77.43,424.60,-56.45
100.00,358.02,-52.98
129.15,306.18,-49.08
166.81,265.49,-45.01
215.44,234.17,-40.77
278.26,209.85,-36.60
359.38,190.40,-32.87
464.16,175.67,-29.08
599.48,163.72,-25.79
774.26,153.92,-22.87
1000.00,145.76,-20.25
1291.55,138.93,-17.88
1668.10,133.14,-15.85
2154.43,128.14,-13.95
2782.56,123.90,-12.24
3593.81,120.47,-10.66
4641.59,117.59,-9.31
5994.84,115.38,-8.09
7742.64,113.45,-7.15
10000.00,111.69,-6.33
12915.50,110.18,-5.63
16681.01,108.88,-5.03
21544.35,107.64,-4.45
27825.59,106.20,-3.96
35938.14,104.89,-3.42
