"Parent_NR";"Parent_Name";"Parent_Rank";"MEMBER_NR";"MEMB_NAME";"MEMB_Rank";"NbChildren"
10732;"Plantago major agg.";"AGG";23163;"Plantago uliginosa";"SPE";0
1105;"Cardamine pratensis agg.";"AGG";15133;"Cardamine pratensis s. l.";"SPE";0
120;"Agrostis canina agg.";"AGG";121;"Agrostis canina";"SPE";0
127;"Agrostis stolonifera agg.";"AGG";129;"Agrostis stolonifera";"SPE";2
1301;"Carex vulpina agg.";"AGG";1303;"Carex vulpina";"SPE";0
1579;"Cirsium vulgare";"SPE";29875;"Cirsium vulgare subsp. vulgare";"SSP";0
1842;"Dactylis glomerata agg.";"AGG";1843;"Dactylis glomerata s. str.";"SPE";3
1903;"Deschampsia cespitosa agg.";"AGG";1904;"Deschampsia cespitosa s. str.";"SPE";2
2087;"Eleocharis palustris agg.";"AGG";2094;"Eleocharis uniglumis";"SPE";1
2094;"Eleocharis uniglumis";"SPE";34360;"Eleocharis uniglumis subsp. uniglumis";"SSP";0
2263;"Euphorbia esula agg.";"AGG";2264;"Euphorbia esula s. str.";"SPE";1
2264;"Euphorbia esula s. str.";"SPE";15203;"Euphorbia esula subsp. esula";"SSP";0
23919;"Selinum dubium";"SPE";32116;"Selinum dubium subsp. dubium";"SSP";0
2548;"Galium mollugo agg.";"AGG";2555;"Galium mollugo s. str.";"SPE";0
25654;"Hieracium rothianum";"SPE";10546;"Hieracium rothianum subsp. rothianum";"SSP";0
2600;"Galium verum s. str.";"SPE";24929;"Galium verum subsp. verum";"SSP";0
26611;"Poa trivialis s. l.";"SPE";7161;"Poa trivialis subsp. trivialis";"SSP";0
26775;"Carex acuta agg.";"AGG";20989;"Carex acuta";"SPE";0
2719;"Glyceria fluitans agg.";"AGG";2721;"Glyceria fluitans";"SPE";0
2872;"Hieracium cymosum";"SPE";10415;"Hieracium cymosum subsp. cymosum";"SSP";0
3151;"Juncus effusus";"SPE";29719;"Juncus effusus subsp. effusus";"SSP";0
3505;"Lotus corniculatus agg.";"AGG";3508;"Lotus corniculatus";"SPE";0
3552;"Lychnis flos-cuculi";"SPE";6846;"Lychnis flos-cuculi subsp. flos-cuculi";"SSP";0
4206;"Phalaris arundinacea";"SPE";29762;"Phalaris arundinacea subsp. arundinacea";"SSP";0
4489;"Potentilla anserina";"SPE";34063;"Potentilla anserina subsp. anserina";"SSP";0
463;"Anthoxanthum odoratum agg.";"AGG";465;"Anthoxanthum odoratum s. str.";"SPE";0
4685;"Quercus robur";"SPE";29751;"Quercus robur subsp. robur";"SSP";0
4726;"Ranunculus flammula agg.";"AGG";4727;"Ranunculus flammula s. str.";"SPE";1
4727;"Ranunculus flammula s. str.";"SPE";27034;"Ranunculus flammula subsp. flammula";"SSP";0
5073;"Rumex acetosa";"SPE";29744;"Rumex acetosa subsp. acetosa";"SSP";0
581;"Armeria maritima s. l.";"SPE";20584;"Armeria maritima subsp. elongata";"SSP";0
60048;"Coniferopsida";"CL1";60051;"Pinopsida";"KLA";3
60051;"Pinopsida";"KLA";94018;"Pinales";"ORD";3
60061;"Pinaceae";"FAM";60598;"Picea";"GAT";1
60086;"Ranunculales";"ORD";60116;"Ranunculaceae";"FAM";10
60135;"Fagales";"ORD";60158;"Fagaceae";"FAM";3
60158;"Fagaceae";"FAM";60924;"Quercus";"GAT";2
60177;"Polygonaceae";"FAM";61115;"Rumex";"GAT";3
60178;"Plumbaginaceae";"FAM";61103;"Armeria";"GAT";2
60273;"Rosales";"ORD";60309;"Rosaceae";"FAM";4
60274;"Fabales";"ORD";60316;"Fabaceae";"FAM";15
60288;"Sapindales";"ORD";60384;"Sapindaceae";"FAM";3
60290;"Apiales";"ORD";60404;"Apiaceae";"FAM";5
60309;"Rosaceae";"FAM";61175;"Potentilla";"GAT";3
60365;"Euphorbiaceae";"FAM";60919;"Euphorbia";"GAT";3
60384;"Sapindaceae";"FAM";60602;"Acer";"GAT";2
60405;"Gentianales";"ORD";60455;"Rubiaceae";"FAM";9
60407;"Lamiales";"ORD";60436;"Plantaginaceae";"FAM";3
60415;"Asterales";"ORD";60463;"Asteraceae";"FAM";414
60429;"Boraginaceae";"FAM";60640;"Symphytum";"GAT";3
60436;"Plantaginaceae";"FAM";61102;"Plantago";"GAT";2
60455;"Rubiaceae";"FAM";61188;"Galium";"GAT";9
60495;"Acorales";"ORD";66142;"Acoraceae";"FAM";2
60518;"Juncaceae";"FAM";61445;"Juncus";"GAT";2
60598;"Picea";"GAT";4269;"Picea abies";"SPE";0
60640;"Symphytum";"GAT";5823;"Symphytum officinale agg.";"AGG";2
60681;"Lychnis (nom. rej. sub Silene)";"GAT";3552;"Lychnis flos-cuculi";"SPE";1
60694;"Stellaria";"GAT";11573;"Stellaria palustris";"SPE";0
60776;"Hieracium";"GAT";12273;"Hieracium subg. Pilosella";"SGE";89
60787;"Taraxacum";"GAT";7434;"Taraxacum sect. Ruderalia";"SEC";288
60845;"Cardamine";"GAT";1105;"Cardamine pratensis agg.";"AGG";1
60857;"Draba";"GAT";32167;"Draba verna agg.";"AGG";3
60919;"Euphorbia";"GAT";2263;"Euphorbia esula agg.";"AGG";2
60924;"Quercus";"GAT";4685;"Quercus robur";"SPE";1
60978;"Malpighiales";"ORD";60365;"Euphorbiaceae";"FAM";3
60980;"Brassicales";"ORD";60251;"Brassicaceae";"FAM";11
61001;"Superrosids";"CL3";60078;"Rosids";"CL4";15
61020;"Lotus";"GAT";3505;"Lotus corniculatus agg.";"AGG";1
61045;"Lathyrus";"GAT";3313;"Lathyrus pratensis";"SPE";0
61052;"Trifolium";"GAT";6063;"Trifolium repens";"SPE";2
61102;"Plantago";"GAT";10732;"Plantago major agg.";"AGG";1
61103;"Armeria";"GAT";581;"Armeria maritima s. l.";"SPE";1
61137;"Adonis";"GAT";76;"Adonis aestivalis";"SPE";2
61140;"Caltha";"GAT";1008;"Caltha palustris";"SPE";0
61293;"Selinum";"GAT";23919;"Selinum dubium";"SPE";1
61296;"Sium";"GAT";5656;"Sium latifolium";"SPE";0
61329;"Acorus";"GAT";69;"Acorus calamus";"SPE";0
61341;"Eleocharis";"GAT";2087;"Eleocharis palustris agg.";"AGG";2
61362;"Anthoxanthum";"GAT";463;"Anthoxanthum odoratum agg.";"AGG";1
61381;"Dactylis";"GAT";1842;"Dactylis glomerata agg.";"AGG";4
61384;"Deschampsia";"GAT";1903;"Deschampsia cespitosa agg.";"AGG";3
61389;"Elymus";"GAT";27778;"Elymus repens s. str.";"SPE";2
61391;"Festuca";"GAT";2412;"Festuca pratensis s. l.";"AGG";2
61395;"Holcus";"GAT";2969;"Holcus lanatus";"SPE";0
61415;"Phalaris";"GAT";4206;"Phalaris arundinacea";"SPE";1
61445;"Juncus";"GAT";3151;"Juncus effusus";"SPE";1
61619;"Boraginales";"ORD";60429;"Boraginaceae";"FAM";4
6301;"Vicia cracca agg.";"AGG";6302;"Vicia cracca";"SPE";0
6338;"Vicia tetrasperma agg.";"AGG";6341;"Vicia tetrasperma";"SPE";0
