day,hour,station,day_hour
220,19,W5,d220.h19
221,0,W6,d221.h00
221,1,W6,d221.h01
221,3,W7,d221.h03
221,4,W7,d221.h04
221,22,W12,d221.h22
221,23,W12,d221.h23
222,3,W16,d222.h03
222,4,W16,d222.h04
222,18,W21,d222.h18
222,19,W21,d222.h19
223,6,W24,d223.h06
223,7,W24,d223.h07
224,1,W31,d224.h01
224,2,W31,d224.h02
224,3,W31,d224.h03
224,22,W39,d224.h22
224,23,W39,d224.h23
225,4,W44,d225.h04
225,5,W44,d225.h05
225,22,W54,d225.h22
225,23,W54,d225.h23
226,2,W58,d226.h02
226,3,W58,d226.h03
232,13,CGR 1-2,d232.h13
232,14,CGR 1-2,d232.h14
232,23,10.1,d232.h23
233,0,10.1,d233.h00
233,2,CGR 1-3,d233.h02
233,3,CGR 1-3,d233.h03
233,10,Z1,d233.h10
233,11,Z1,d233.h11
233,14,Z2,d233.h14
233,15,Z2,d233.h15
233,22,Z3,d233.h22
233,23,Z3,d233.h23
234,1,Z4-N,d234.h01
234,2,Z4-N,d234.h02
234,7,CGR 1-4,d234.h07
234,8,CGR 1-4,d234.h08
234,11,Z4-D,d234.h11
234,12,Z4-D,d234.h12
234,16,CAP,d234.h16
234,17,CAP,d234.h17
234,22,7.6_1,d234.h22
234,23,7.6_1,d234.h23
235,0,7.6_1,d235.h00
235,19,P1-1,d235.h19
235,20,P1-1,d235.h20
236,1,P1-2,d236.h01
236,2,P1-2,d236.h02
236,7,P1-3,d236.h07
236,8,P1-3,d236.h08
236,11,P1-4,d236.h11
236,12,P1-4,d236.h12
240,5,P2-1,d240.h05
240,6,P2-1,d240.h06
240,9,P2-2,d240.h09
240,10,P2-2,d240.h10
240,11,P2-2,d240.h11
240,21,P2-4,d240.h21
240,22,P2-4,d240.h22
241,1,P2-5,d241.h01
241,2,P2-5,d241.h02
241,3,P2-5,d241.h03
241,6,P2-6,d241.h06
241,7,P2-6,d241.h07
241,8,P2-6,d241.h08
241,11,P2-7,d241.h11
241,12,P2-7,d241.h12
242,10,CGR 1-6,d242.h10
242,11,CGR 1-6,d242.h11
243,11,7.6_2,d243.h11
243,12,7.6_2,d243.h12
244,1,K1,d244.h01
244,2,K1,d244.h02
