REGION	CHEFLIEU	TNCC	NCC	NCCENR
01	97105	3	GUADELOUPE	Guadeloupe:guadeloupéen:guadeloupéens:guadeloupéenne:guadeloupéennes:
02	97209	3	MARTINIQUE	Martinique:martiniquais:martiniquaise:martiniquaises:
03	97302	3	GUYANE	Guyane:guyanais:guyanaise:guyanaises:
04	97411	0	LA REUNION	La Réunion:La Reunion:réunionnais:réunionnaise:réunionnaises:
11	75056	1	ILE-DE-FRANCE	Île-de-France:Ile-de-France:Île de France:Ile de France:francilien:franciliens:francilienne:franciliennes:
21	51108	0	CHAMPAGNE-ARDENNE	Champagne-Ardenne:champenois:champenoise:champenoises:Champagne:
22	80021	0	PICARDIE	Picardie:picard:picards:picarde:picardes:
23	76540	0	HAUTE-NORMANDIE	Haute-Normandie:normand:normands:normande:normandes:
24	45234	2	CENTRE	Centre:orléanais:orléanaise:orléanaises:
25	14118	0	BASSE-NORMANDIE	Basse-Normandie:Basse Normandie:normand:normands:normande:normandes:
26	21231	0	BOURGOGNE	Bourgogne:bourguignon:bourguignons:bourguignonne:bourguignonnes:
31	59350	2	NORD-PAS-DE-CALAIS	Nord-Pas-de-Calais:Nord Pas de Calais:
41	57463	0	LORRAINE	Lorraine:lorrain:lorrains:lorraine:lorraines:
42	67482	1	ALSACE	Alsace:alsacien:alsaciens:alsacienne:alsaciennes:
43	25056	0	FRANCHE-COMTE	Franche-Comté:Franche-Comte:franc comtois:franc comtoise:franc comptoises:
52	44109	4	PAYS DE LA LOIRE	Pays de la Loire:
53	35238	0	BRETAGNE	Bretagne:breton:bretons:bretonne:bretonnes:
54	86194	2	POITOU-CHARENTES	Poitou-Charentes:Poitou Charentes:poitevin:
72	33063	1	AQUITAINE	Aquitaine:gascon:gascons:gasconne:gasconnes:
73	31555	0	MIDI-PYRENEES	Midi-Pyrénées:Midi-Pyrenees:Midi Pyrenees:
74	87085	2	LIMOUSIN	Limousin:
82	69123	2	RHONE-ALPES	Rhône-Alpes:Rhone-Alpes:Rhône Alpes:Rhone-Alpes:
83	63113	1	AUVERGNE	Auvergne:auvergnat:auvergnats:auvergate:auvergnates:
91	34172	2	LANGUEDOC-ROUSSILLON	Languedoc-Roussillon:languedocien:languedociens:languedocienne:languedociennes:
93	13055	0	PROVENCE-ALPES-COTE D'AZUR	Provence-Alpes-Côte d'Azur:Provence Alpes Côte d'Azur:provençal:provençaux:provençale:provençales:
94	2A004	0	CORSE	Corse:corses:corse:
