	Latitude	Longitude	Code Postal	Code INSEE	Code Région	Nom Ville	MAJ
43.283333	-0.083333	64460	64001	72	Aast	AAST
48.533333	5.5	55130	55001	41	Abainville	ABAINVILLE
49.7	1.766667	60220	60001	22	Abancourt	ABANCOURT
48.9	6.25	54610	54001	41	Abaucourt	ABAUCOURT
47.133333	5.883333	25320	25001	43	Abbans-Dessous	ABBANS DESSOUS:Abbans Dessous
47.116667	5.883333	25440	25002	43	Abbans-Dessus	ABBANS DESSUS:Abbans Dessus
47.55	-1.533333	44170	44001	52	Abbaretz	ABBARETZ
49.366667	2.15	60430	60002	22	Abbecourt	ABBECOURT
47.5	6.45	25340	25003	43	Abbenans	ABBENANS
50.1	1.833333	80132	80001	11	Abbeville	ABBEVILLE
49.516667	2.166667	60480	60003	22	Abbeville-Saint-Lucien	ABBEVILLE SAINT LUCIEN:Abbeville Saint Lucien
49.6	3.183333	2300	2001	22	Abbécourt	ABBECOURT:Abbecourt:
48.35	2.166667	91150	91001	82	Abbéville-la-Rivière	ABBEVILLE LA RIVIERE:Abbéville la Rivière:Abbeville la Riviere:Abbeville-la-Riviere:
49.2	5.85	54800	54002	41	Abbéville-lès-Conflans	ABBEVILLE LES CONFLANS:Abbéville lès Conflans:Abbeville les Conflans:Abbeville-les-Conflans:
47.433333	6.916667	25310	25004	43	Abbévillers	ABBEVILLERS:Abbevillers:
43.45	3.3	34290	34001	91	Abeilhan	ABEILHAN
47.783333	6.3	70300	70001	72	Abelcourt	ABELCOURT
46.883333	5.366667	39120	39005	43	Abergement-Saint-Jean	ABERGEMENT SAINT JEAN:Abergement Saint Jean
47.066667	5.383333	39500	39001	43	Abergement-la-Ronce	ABERGEMENT LA RONCE:Abergement la Ronce
46.916667	5.683333	39600	39002	43	Abergement-le-Grand	ABERGEMENT LE GRAND:Abergement le Grand
46.9	5.7	39800	39003	43	Abergement-le-Petit	ABERGEMENT LE PETIT:Abergement le Petit
46.916667	5.933333	39110	39004	43	Abergement-lès-Thésy	ABERGEMENT LES THESY:Abergement lès Thésy:Abergement les Thesy:Abergement-les-Thesy:
43.4	-0.616667	64150	64003	72	Abidos	ABIDOS
43.416667	-0.983333	64390	64004	72	Abitain	ABITAIN
50.383333	2.716667	62153	62001	31	Ablain-Saint-Nazaire	ABLAIN SAINT NAZAIRE:Ablain Saint Nazaire
50.15	2.733333	62116	62002	31	Ablainzevelle	ABLAINZEVELLE
48.816667	4.533333	51240	51001	21	Ablancourt	ABLANCOURT
49.083333	1.983333	95450	95002	11	Ableiges	ABLEIGES
48.516667	1.841667	78660	78003	11	Ablis	ABLIS
49.4	0.3	14600	14001	25	Ablon	ABLON
48.716667	2.416667	94480	94001	11	Ablon-sur-Seine	ABLON SUR SEINE:Ablon sur Seine
49.266667	6.35	57920	57001	41	Aboncourt	ABONCOURT
48.816667	6.35	57590	57002	41	Aboncourt-sur-Seille	ABONCOURT SUR SEILLE:Aboncourt sur Seille
46.283333	6.733333	74360	74001	72	Abondance	ABONDANCE
48.783333	1.433333	28570	28001	24	Abondant	ABONDANT
43.35	-0.566667	64360	64005	72	Abos	ABOS
45.416667	4.133333	42380	42001	82	Aboën	ABOEN:Aboen:
48.633333	7.1	57560	57003	41	Abreschviller	ABRESCHVILLER
46.1	3.433333	3200	3001	83	Abrest	ABREST
44.783333	6.933333	5460	5001	72	Abriès	ABRIES:Abries:
50.333333	3.3	59215	59002	31	Abscon	ABSCON
45.016667	-0.133333	33230	33001	72	Abzac	ABZAC
43.383333	-0.166667	64160	64002	72	Abère	ABERE:Abere:
47.5	6.533333	25250	25005	43	Accolans	ACCOLANS
47.666667	3.716667	89460	89001	11	Accolay	ACCOLAY
44.9	4.383333	7160	7001	82	Accons	ACCONS
42.983333	-0.6	64490	64006	72	Accous	ACCOUS
48.916667	6.583333	57340	57004	41	Achain	ACHAIN
49.05	7.183333	57410	57006	41	Achen	ACHEN
48.583333	7.633333	67204	67001	73	Achenheim	ACHENHEIM
49.683333	3.383333	2800	2002	22	Achery	ACHERY
50.066667	2.533333	80560	80003	11	Acheux-en-Amiénois	ACHEUX EN AMIENOIS:Acheux en Amiénois:Acheux en Amienois:Acheux-en-Amienois:
