Approved.symbol	Previous.symbols	Alias.symbols	NCBI.Gene.ID	Ensembl.gene.ID
A1BG	NA	NA	1	ENSG00000121410
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538	ENSG00000268895
A1CF	NA	ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	ENSG00000148584
A1S9T~withdrawn	NA	NA	NA	NA
A2M	NA	FWP007, S863-7, CPAMD5	2	ENSG00000175899
A2M-AS1	NA	NA	144571	ENSG00000245105
A2ML1	CPAMD9	FLJ25179, p170	144568	ENSG00000166535
A2ML1-AS1	NA	NA	NA	ENSG00000256661
A2ML1-AS2	NA	NA	NA	ENSG00000256904
A2MP1	A2MP	NA	3	ENSG00000256069
A2MR~withdrawn	NA	NA	NA	NA
A2MRAP~withdrawn	NA	NA	NA	NA
A3GALT2	A3GALT2P	IGBS3S, IGB3S	127550	ENSG00000184389
A4GALT	P1	A14GALT, Gb3S, P(k)	53947	ENSG00000128274
A4GNT	NA	alpha4GnT	51146	ENSG00000118017
A12M1	NA	NA	NA	NA
A12M2	NA	NA	NA	NA
A12M3	NA	NA	NA	NA
A12M4	NA	NA	NA	NA
AA~withdrawn	AA	NA	NA	NA
AAAS	NA	NA	8086	ENSG00000094914
AABT	NA	NA	NA	NA
AAC1~withdrawn	NA	NA	NA	NA
AAC2~withdrawn	NA	NA	NA	NA
AACS	NA	FLJ12389, SUR-5, ACSF1	65985	ENSG00000081760
AACSP1	AACSL	NA	729522	ENSG00000250420
AACT~withdrawn	NA	NA	NA	NA
AADAC	NA	DAC, CES5A1	13	ENSG00000114771
AADACL2	NA	MGC72001	344752	ENSG00000197953
AADACL2-AS1	NA	NA	101928142	ENSG00000242908
AADACL3	NA	OTTHUMG00000001887	126767	ENSG00000188984
AADACL4	NA	OTTHUMG00000001889	343066	ENSG00000204518
AADACP1	NA	NA	201651	ENSG00000240602
AADAT	NA	KATII, KAT2, KYAT2	51166	ENSG00000109576
AAGAB	NA	FLJ11506, p34	79719	ENSG00000103591
AAK1	NA	KIAA1048, DKFZp686K16132	22848	ENSG00000115977
AAMDC	C11orf67	PTD015, FLJ21035, CK067	28971	ENSG00000087884
AAMP	NA	NA	14	ENSG00000127837
AANAT	NA	SNAT	15	ENSG00000129673
AAR2	C20orf4	bA234K24.2	25980	ENSG00000131043
AARD	C8orf85	LOC441376	441376	ENSG00000205002
AARS1	AARS	CMT2N, AlaRS	16	ENSG00000090861
AARS1P1	AARSP1	NA	106480683	ENSG00000249038
AARS2	AARSL	KIAA1270, bA444E17.1	57505	ENSG00000124608
AARSD1	NA	MGC2744	80755	ENSG00000266967
AARSD1P1	NA	NA	NA	ENSG00000234969
AASDH	NA	NRPS998, LYS2, ACSF4	132949	ENSG00000157426
AASDHPPT	NA	LYS5, CGI-80, AASD-PPT, ACPS	60496	ENSG00000149313
AASS	NA	LORSDH, LKRSDH	10157	ENSG00000008311
AATBC	NA	NA	284837	ENSG00000215458
AATF	NA	DED, CHE-1, CHE1, BFR2	26574	ENSG00000275700
AATK	NA	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625	ENSG00000181409
AAVS1	NA	AAV	17	NA
ABALON	NA	INXS	103021294	ENSG00000281376
ABAT	NA	GABAT, GABA-T	18	ENSG00000183044
ABC1~withdrawn	NA	NA	NA	NA
ABC2~withdrawn	NA	NA	NA	NA
ABC3~withdrawn	NA	NA	NA	NA
ABC7~withdrawn	NA	NA	NA	NA
ABC50~withdrawn	NA	NA	NA	NA
ABCA1	ABC1, HDLDT1	TGD	19	ENSG00000165029
ABCA2	ABC2	NA	20	ENSG00000107331
ABCA3	ABC3	ABC-C, EST111653, LBM180	21	ENSG00000167972
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24	ENSG00000198691
ABCA5	NA	EST90625	23461	ENSG00000154265
ABCA6	NA	EST155051	23460	ENSG00000154262
ABCA7	NA	ABCX	10347	ENSG00000064687
ABCA8	NA	KIAA0822	10351	ENSG00000141338
ABCA9	NA	EST640918	10350	ENSG00000154258
ABCA9-AS1	NA	NA	NA	ENSG00000231749
