#chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type
1	NC_000001.10	HES4	57801	CCDS5.1	Public	-	934438	935352	[934438-934811, 934905-934992, 935071-935166, 935245-935352]	Identical
2	NC_000002.11	CSRNP3	80034	CCDS2225.1	Public	+	166451575	166536262	[166451575-166451722, 166514270-166514529, 166532821-166533117, 166535210-166536262]	Identical
3	NC_000003.11	ZBED2	79413	CCDS2960.2	Public	-	111312391	111313047	[111312391-111313047]	Identical
4	NC_000004.11	ATOH1	474	CCDS3638.1	Public	+	94750077	94751141	[94750077-94751141]	Identical
5	NC_000005.9	PAIP2	51247	CCDS4211.1	Public	+	138699473	138704486	[138699473-138699610, 138700252-138700431, 138704421-138704486]	Identical
6	NC_000006.11	SAYSD1	55776	CCDS4840.1	Public	-	39073207	39082864	[39073207-39073551, 39082658-39082864]	Identical
7	NC_000007.13	SHFM1	7979	CCDS5646.1	Public	-	96318235	96339074	[96318235-96318277, 96324109-96324202, 96338999-96339074]	Identical
8	NC_000008.10	KCNV1	27012	CCDS6314.1	Public	-	110980316	110986616	[110980316-110980827, 110984486-110985015, 110986156-110986616]	Identical
9	NC_000009.11	BAAT	570	CCDS6752.1	Public	-	104124709	104133685	[104124709-104125296, 104130401-104130603, 104133220-104133685]	Identical
10	NC_000010.10	HOGA1	112817	CCDS44469.1	Public	+	99344460	99371415	[99344460-99344670, 99361613-99361746, 99371266-99371415]	Identical
11	NC_000011.9	ACAT1	38	CCDS8339.1	Public	+	107992333	108018116	[107992333-107992404, 108002633-108002680, 108004546-108004663, 108004947-108005042, 108005868-108005968, 108009624-108009767, 108010791-108010941, 108012331-108012426, 108013163-108013276, 108014709-108014773, 108016928-108017085, 108017996-108018116]	Identical
11	NC_000011.9	C11orf65	160140	CCDS8340.1	Public	-	108253747	108332285	[108253747-108253901, 108256646-108256701, 108263934-108264104, 108276155-108276285, 108277489-108277689, 108277822-108277875, 108302472-108302564, 108332205-108332285]	Identical
11	NC_000011.9	EXPH5	23086	CCDS8341.1	Public	-	108380263	108464262	[108380263-108385601, 108388961-108389099, 108398862-108398910, 108409750-108409912, 108412378-108412538, 108464144-108464262]	Identical
11	NC_000011.9	DDX10	1662	CCDS8342.1	Public	+	108535880	108811149	[108535880-108536065, 108544193-108544253, 108546322-108546452, 108547811-108547969, 108549041-108549161, 108550097-108550286, 108559662-108559788, 108562602-108562764, 108564242-108564326, 108577465-108577563, 108586605-108586692, 108590523-108590611, 108593723-108594188, 108709172-108709291, 108712041-108712202, 108722879-108722935, 108788599-108788744, 108810972-108811149]	Identical
