Spot,Clone ID,Accession,CH,POS.start,POS.end,GBM29
40503,IMAGE:309499,N99256,7,40640694,40641142,0.333661418074567
8375,IMAGE:140301,R66924,7,41465915,41466305,-0.152838196371805
30636,IMAGE:269815,N27159,7,41469912,41470315,0.101484705779586
22676,IMAGE:2458975,AI925826,7,41470526,41480611,-0.0342123488732216
16270,IMAGE:1872395,AI283230,7,41474352,41474765,0.344761109519729
6364,IMAGE:784282,AA447485,7,41742812,41743250,0.151108203113009
1888,IMAGE:767495,AA418036,7,41744458,41744949,0.79831808824519
23089,IMAGE:726786,AA398392,7,42689660,42690008,0.282753823807157
21163,IMAGE:366104,AA071518,7,42697239,42697547,0.116232607762567
22739,IMAGE:2505262,AW004716,7,42697790,42705108,-0.232173258364388
22303,IMAGE:950422,AA599068,7,42718032,42718203,-0.754577313753877
557,1292536,AA719011,7,42932713,42933143,1.06762340635635
39651,IMAGE:42811,R60040,7,43259123,43259550,-0.0173920074871986
7863,IMAGE:49583,H15245,7,43260031,43330887,0.751175346435043
12304,IMAGE:180885,R87212,7,43288396,43321641,0.0367000053093857
38738,IMAGE:47374,H10692,7,43291400,43291776,-0.0493416624382936
25102,IMAGE:1881297,AI290919,7,43345926,43346373,0.901071056428419
30267,IMAGE:233852,H65941,7,43385939,43386275,0.438619702686355
36314,IMAGE:1468054,AA884000,7,43388831,43389334,-0.0543896928799771
22433,IMAGE:1762094,AI222675,7,43393277,43393657,0.298236003346091
31857,IMAGE:701450,AA286902,7,43401572,43401894,-0.0590942926779714
23687,IMAGE:813689,AA453754,7,43405153,43405564,-0.289935426721419
37215,IMAGE:1475493,AA857822,7,43407099,43407574,0.240412430575677
12899,IMAGE:1627782,AI017965,7,43407782,43408237,-0.142595621734459
30851,IMAGE:246800,N59078,7,43419635,43420032,0.187220135680123
39809,IMAGE:127751,R09724,7,43428978,43509855,0.470995057342923
10590,IMAGE:627542,AA192419,7,43587418,43587720,1.04844268704496
16781,IMAGE:811770,AA463446,7,43646937,43647204,0.311285933553081
11266,IMAGE:1558345,AA977670,7,43661554,43687006,1.31232654328583
12973,IMAGE:844453,AA626815,7,43661915,43662341,1.05377384731012
40804,IMAGE:982027,AA523787,7,43687476,43687612,1.97177842288794
21699,IMAGE:1126270,AA653244,7,43721264,43721565,1.22037330636477
12584,IMAGE:269427,N26172,7,43729155,43729575,0.728297691457952
41106,IMAGE:1574629,AA968964,7,43733555,43733951,-0.0306769324233353
35822,IMAGE:2432315,AI885281,7,43824554,43824793,0.727295021452195
15336,IMAGE:137862,R68360,7,43824799,43825134,-0.428615113105168
31617,IMAGE:1631746,AI025113,7,43852628,43853051,0.935317807200237
36608,IMAGE:771206,AA428377,7,43895065,43896275,0.250162331634765
9644,IMAGE:309316,N93941,7,43919245,43921149,0.0514309774589272
28895,IMAGE:810762,AA457731,7,43981477,43986792,-0.059523283231468
22084,IMAGE:825341,AA504496,7,43997760,43998134,1.22869344480733
40302,IMAGE:50636,H17922,7,44022689,44022984,0.479788597221093
34119,IMAGE:827163,AA521297,7,44163969,44164541,0.196424313453652
25802,IMAGE:1562041,AA936328,7,44177999,44178366,0.398860206729064
15174,IMAGE:838367,AA457182,7,44178310,44178718,0.438492346876805
32795,IMAGE:460179,AA676945,7,44292913,44293198,0.395355384071757
1066,IMAGE:796656,AA460122,7,44346430,44351949,0.625664617907154
31423,IMAGE:752808,AA481305,7,44358274,44358644,-0.0503582516183347
18450,IMAGE:251250,H96534,7,44361577,44362497,1.50072673623919
2749,IMAGE:233479,H78910,7,44487956,44488461,-0.37732312144575
6128,IMAGE:1371793,AA856769,7,44488747,44489445,0.0980841928922572
5146,IMAGE:1205275,AA658898,7,44538447,44538834,-0.0858502457699683
40796,IMAGE:1202692,AA630897,7,44538450,44538834,0.0916534301779624
17464,IMAGE:2566933,AW072169,7,44546852,44547995,-2.72298085872353
39547,IMAGE:742977,AA405739,7,44548864,44549076,-0.126329004992674
34422,IMAGE:745318,AA625583,7,44551659,44552157,0.999487123443486
5138,IMAGE:1155260,AA780925,7,44555593,44555871,0.689845588648877
34557,IMAGE:1705178,AI160166,7,44577490,44577971,-0.0345284986779457
7467,IMAGE:1570861,AA932298,7,44583125,44583448,-0.262725990952916
29183,IMAGE:451649,AA706901,7,44607174,44607744,-0.169201203652287
10845,IMAGE:322460,W39413,7,44612161,44612574,0.586809619152138
33328,IMAGE:248734,H79077,7,44612790,44613251,-0.201786803846098
20919,IMAGE:1917941,AI344518,7,44614606,44616019,-0.0497927588634648
21671,IMAGE:154996,AI732324,7,44650103,44650583,0.278445856009286
41265,IMAGE:154996,AI732324,7,44650103,44650583,-0.286105881842563
9491,IMAGE:154428,AI732317,7,44650104,44650648,0.269179756597464
28995,IMAGE:770993,AA427406,7,44656677,44657132,-0.481762383099768
19546,IMAGE:305697,N89985,7,44660153,44660564,0.33500556478461
16116,IMAGE:381054,AA053361,7,44663423,44663749,-0.19918064011259
39363,IMAGE:1565445,AA932955,7,44742707,44744548,0.149012767547228
32647,IMAGE:470232,AA028884,7,44763402,44763870,0.055778898590423
17057,IMAGE:1461059,AA890153,7,44829652,44830010,-0.119631937236669
41454,IMAGE:814327,AA459118,7,44834461,44834865,1.32090751370571
33523,IMAGE:25636,R11906,7,44845165,44845687,0.102134020614778
25117,IMAGE:1518538,AA903402,7,44856550,44856832,0.00483794592884546
14884,IMAGE:882439,AA676387,7,44880636,44881955,-0.542263942928258
14655,IMAGE:1662298,AI081368,7,45434047,45434404,0.91854636392271
39500,IMAGE:344141,W69791,7,45444665,45445050,0.0231919292170584
13551,IMAGE:42389,R67177,7,45499639,45500069,0.240312074973768
2029,IMAGE:289582,N59265,7,45507531,45507835,0.422260116355425
35875,IMAGE:491504,AA148812,7,45672405,45673815,0.0329980055713247
36544,IMAGE:668685,AA233079,7,45673485,45674010,4.50912219808102
36696,IMAGE:668685,AA233079,7,45673485,45674010,4.10007565486682
37400,IMAGE:668685,AA233079,7,45673485,45674010,5.34966425736141
24375,IMAGE:898218,AA598601,7,45692745,45693212,4.72082194560432
11894,IMAGE:1505561,AA906041,7,46256834,46258318,0.717722454897608
26000,IMAGE:741135,AA402719,7,46554691,46555174,0.475245855411365
12684,IMAGE:745084,AA626348,7,46780997,46859491,0.306688852855449
29405,IMAGE:1031562,AA609289,7,46931800,46932257,0.298557882758327
36419,IMAGE:1878081,AI276081,7,47057186,47057647,5.62351953807393
36461,IMAGE:565724,AA127541,7,47080045,47080464,4.07146094568776
29321,IMAGE:1618321,AI016507,7,47589787,47590140,4.90485864171143
2268,IMAGE:305895,N91276,7,47735717,47735909,4.95448674276032
2673,IMAGE:2516902,AI968159,7,47744761,47757212,4.24903329246364
19776,IMAGE:435997,AA703233,7,47863402,47863874,4.3353086131128
24385,IMAGE:489677,AA099568,7,47887335,47888791,3.99307438650928
36455,IMAGE:510556,AA055611,7,48431538,48431887,0.698309502822659
18954,IMAGE:1625706,AI005065,7,48444917,48447720,0.416954890048216
